"yearID","teamID","lgID","playerID","G_all","GS","G_batting","G_defense","G_p","G_c","G_1b","G_2b","G_3b","G_ss","G_lf","G_cf","G_rf","G_of","G_dh","G_ph","G_pr","mainPos"
2020,"ARI","NL","crichst01",26,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"PIT","NL","crickky01",7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"SLN","NL","crismna01",6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"CHA","AL","crochga01",5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"DET","AL","croncj01",13,13,13,13,0,0,13,0,0,0,0,0,0,0,0,0,0,"1B"
2020,"SDN","NL","croneja01",54,49,54,54,0,0,10,38,1,11,0,0,0,0,0,1,2,"2B"
2020,"ARI","NL","cronke01",8,5,8,1,0,0,1,0,0,0,0,0,0,0,6,3,0,"DH"
2020,"WAS","NL","crowewi01",3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"SLN","NL","cruzje01",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"MIN","AL","cruzne02",53,52,53,0,0,0,0,0,0,0,0,0,0,0,52,1,0,"DH"
2020,"SFN","NL","cuetojo01",12,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"ATL","NL","culbech01",10,1,9,6,1,0,4,1,0,0,0,0,0,0,1,2,4,"1B"
2020,"TBA","AL","curtijo02",17,3,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"CHA","AL","cuthbch01",1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,"3B"
2020,"COL","NL","dahlda01",24,23,24,22,0,0,0,0,0,0,4,17,2,22,2,0,0,"CF"
2020,"BOS","AL","dalbebo01",23,23,23,22,0,0,21,0,2,0,0,0,0,0,1,0,0,"1B"
2020,"ATL","NL","darnatr01",44,39,44,35,0,35,0,0,0,0,0,0,0,0,7,4,0,"C"
2020,"CHN","NL","darviyu01",12,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"CIN","NL","davidma02",22,10,20,5,3,0,2,0,0,0,0,0,0,0,13,10,0,"DH"
2020,"ATL","NL","davidtu01",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"SDN","NL","davieza01",12,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"PHI","NL","davisau01",4,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"PIT","NL","davisau01",5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"BAL","AL","davisch02",16,13,16,15,0,0,15,0,0,0,0,0,0,0,0,2,0,"1B"
2020,"SFN","NL","davisja03",4,4,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,"RF"
2020,"NYN","NL","davisjd01",56,52,56,42,0,0,0,0,34,0,8,0,0,8,13,4,0,"3B"
2020,"TOR","AL","davisjo05",13,9,13,13,0,0,0,0,0,0,3,5,6,13,0,0,1,"RF"
2020,"OAK","AL","daviskh01",30,25,30,0,0,0,0,0,0,0,0,0,0,0,27,5,0,"DH"
2020,"COL","NL","daviswa01",5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,"P"
