year.key,league.key,team.key,franchise.key,team.key.bbref,team.key.lahman45,team.key.retro,name
1891,AA,PH4,PHQ,PHA,PH4,PH4,Philadelphia Athletics
1891,NL,PHI,PHI,PHI,PHI,PHI,Philadelphia Phillies
1891,NL,PIT,PIT,PIT,PIT,PIT,Pittsburgh Pirates
1891,AA,SL4,STL,STL,SL4,SL4,St. Louis Browns
1891,AA,WS9,WAS,WAS,WS9,WS9,Washington Statesmen
1892,NL,BLN,BLO,BLN,BLN,BLN,Baltimore Orioles
1892,NL,BRO,LAD,BRO,BRO,BRO,Brooklyn Grooms
1892,NL,BSN,ATL,BSN,BSN,BSN,Boston Beaneaters
1892,NL,CHN,CHC,CHC,CHN,CHN,Chicago Colts
1892,NL,CIN,CIN,CIN,CIN,CIN,Cincinnati Reds
1892,NL,CL4,CLV,CLV,CL4,CL4,Cleveland Spiders
1892,NL,LS3,LOU,LOU,LS3,LS3,Louisville Colonels
1892,NL,NY1,SFG,NYG,NY1,NY1,New York Giants
1892,NL,PHI,PHI,PHI,PHI,PHI,Philadelphia Phillies
1892,NL,PIT,PIT,PIT,PIT,PIT,Pittsburgh Pirates
1892,NL,SLN,STL,STL,SLN,SLN,St. Louis Browns
1892,NL,WAS,WAS,WHS,WSN,WSN,Washington Senators
1893,NL,BLN,BLO,BLN,BLN,BLN,Baltimore Orioles
1893,NL,BRO,LAD,BRO,BRO,BRO,Brooklyn Grooms
1893,NL,BSN,ATL,BSN,BSN,BSN,Boston Beaneaters
1893,NL,CHN,CHC,CHC,CHN,CHN,Chicago Colts
1893,NL,CIN,CIN,CIN,CIN,CIN,Cincinnati Reds
1893,NL,CL4,CLV,CLV,CL4,CL4,Cleveland Spiders
1893,NL,LS3,LOU,LOU,LS3,LS3,Louisville Colonels
1893,NL,NY1,SFG,NYG,NY1,NY1,New York Giants
1893,NL,PHI,PHI,PHI,PHI,PHI,Philadelphia Phillies
1893,NL,PIT,PIT,PIT,PIT,PIT,Pittsburgh Pirates
1893,NL,SLN,STL,STL,SLN,SLN,St. Louis Browns
1893,NL,WAS,WAS,WHS,WSN,WSN,Washington Senators
1894,NL,BLN,BLO,BLN,BLN,BLN,Baltimore Orioles
1894,NL,BRO,LAD,BRO,BRO,BRO,Brooklyn Grooms
1894,NL,BSN,ATL,BSN,BSN,BSN,Boston Beaneaters
1894,NL,CHN,CHC,CHC,CHN,CHN,Chicago Colts
1894,NL,CIN,CIN,CIN,CIN,CIN,Cincinnati Reds
1894,NL,CL4,CLV,CLV,CL4,CL4,Cleveland Spiders
1894,NL,LS3,LOU,LOU,LS3,LS3,Louisville Colonels
1894,NL,NY1,SFG,NYG,NY1,NY1,New York Giants
1894,NL,PHI,PHI,PHI,PHI,PHI,Philadelphia Phillies
1894,NL,PIT,PIT,PIT,PIT,PIT,Pittsburgh Pirates
1894,NL,SLN,STL,STL,SLN,SLN,St. Louis Browns
1894,NL,WAS,WAS,WHS,WSN,WSN,Washington Senators
1895,NL,BLN,BLO,BLN,BLN,BLN,Baltimore Orioles
1895,NL,BRO,LAD,BRO,BRO,BRO,Brooklyn Grooms
1895,NL,BSN,ATL,BSN,BSN,BSN,Boston Beaneaters
1895,NL,CHN,CHC,CHC,CHN,CHN,Chicago Colts
1895,NL,CIN,CIN,CIN,CIN,CIN,Cincinnati Reds
1895,NL,CL4,CLV,CLV,CL4,CL4,Cleveland Spiders
1895,NL,LS3,LOU,LOU,LS3,LS3,Louisville Colonels
1895,NL,NY1,SFG,NYG,NY1,NY1,New York Giants
1895,NL,PHI,PHI,PHI,PHI,PHI,Philadelphia Phillies
1895,NL,PIT,PIT,PIT,PIT,PIT,Pittsburgh Pirates
1895,NL,SLN,STL,STL,SLN,SLN,St. Louis Browns
1895,NL,WAS,WAS,WHS,WSN,WSN,Washington Senators
1896,NL,BLN,BLO,BLN,BLN,BLN,Baltimore Orioles
1896,NL,BRO,LAD,BRO,BRO,BRO,Brooklyn Bridegrooms
1896,NL,BSN,ATL,BSN,BSN,BSN,Boston Beaneaters
1896,NL,CHN,CHC,CHC,CHN,CHN,Chicago Colts
1896,NL,CIN,CIN,CIN,CIN,CIN,Cincinnati Reds
1896,NL,CL4,CLV,CLV,CL4,CL4,Cleveland Spiders
1896,NL,LS3,LOU,LOU,LS3,LS3,Louisville Colonels
1896,NL,NY1,SFG,NYG,NY1,NY1,New York Giants
1896,NL,PHI,PHI,PHI,PHI,PHI,Philadelphia Phillies
1896,NL,PIT,PIT,PIT,PIT,PIT,Pittsburgh Pirates
1896,NL,SLN,STL,STL,SLN,SLN,St. Louis Browns
1896,NL,WAS,WAS,WHS,WSN,WSN,Washington Senators
1897,NL,BLN,BLO,BLN,BLN,BLN,Baltimore Orioles
1897,NL,BRO,LAD,BRO,BRO,BRO,Brooklyn Bridegrooms
1897,NL,BSN,ATL,BSN,BSN,BSN,Boston Beaneaters
1897,NL,CHN,CHC,CHC,CHN,CHN,Chicago Colts
